username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Bill Alvstad🎙️,1195324231,"Phoenix, AZ",2023-01-17 16:23:55,Come and join the growing numbers of listeners as we enter our 7th year and over 400 episodes! @MyersNFL… https://t.co/VkS2BQ6ooQ,2,Twitter Web App,
Gabe Owens,3241638373,"Surprise, AZ",2023-01-17 14:23:22,"@DavyPhockett So, you've never met a Seahawks fan?  =)",0,Twitter Web App,
Bennie Benjamin,203803713,"Phoenix, AZ",2023-01-17 14:06:06,"@Wah_Wuh_Wee_Wah @thecyclingoran1 @Realrclark25 They put up 41 on the Seahawks genius, thats more than 35",0,Twitter for iPhone,
Janoya14,1340954508294164483,"Glendale, AZ",2023-01-17 11:02:05,"@BarstoolPhilly Seahawks,Raiders,Cowboys, Cardinals and Rams",0,Twitter for Android,
Paige Dimakos,71282326,"Scottsdale, AZ ",2023-01-17 04:26:21,"Updated #NFLDraft2023
order👇

19. Buccaneers
20. Seahawks
21. Chargers
22. Ravens
23. Vikings",4,TweetDeck,
🇺🇸 zay ward 🇩🇰,1428983053,"Phoenix, AZ",2023-01-16 22:52:53,@BDPeacock For those saying Seahawks are too young to grow up in the Dal/9ers rivalry.,0,Twitter for iPhone,
Brian Miller,36662150,"Goodyear, AZ",2023-01-16 21:39:19,@Dan_Winiarski @KMiksovsky @cougsgo Then under this logic why not draft a QB1 and play him Day 1 on a rookie deal a… https://t.co/sg5IW3wf8o,0,Twitter for iPhone,
Bill Alvstad🎙️,1195324231,"Phoenix, AZ",2023-01-16 20:33:21,"Begin your off-season with us. 

3 shows each week through the draft! 

@MyersNFL @HawksPlaybook @PigskinPodNet… https://t.co/8LsvhA9Cxx",1,Twitter Web App,
KP,233611676,"Phoenix, AZ",2023-01-16 20:03:23,Kyle Shanahan had the Seahawks in a torture chamber all day but this call was a 💎 and a new wrinkle that he hasn’t… https://t.co/vvRBLuUB8P,11,Twitter for iPhone,
Bennie Benjamin,203803713,"Phoenix, AZ",2023-01-16 19:06:34,@JCerasuolo @PatMcAfeeShow Seahawks season is over thanks to him. stop watching,0,Twitter for iPhone,
Sysco,1594471447895777280,"Phoenix, AZ",2023-01-16 16:38:53,@espn Seahawks boutta pick him up,0,Twitter for iPhone,
Chavez Batboy,768695381836169216,"Phoenix, AZ",2023-01-16 15:17:59,@PatMcAfeeShow @NFL The nfl knew the niners would beat the brakes off the Seahawks hence the garbage start time. No… https://t.co/59YE2qnsm6,0,Twitter for iPhone,
azcentral sports,16615190,"Phoenix, AZ",2023-01-16 14:20:00,"""The #AZCardinals, in a NFC West seemingly controlled by the San Francisco 49ers and budding Seattle Seahawks group… https://t.co/r09s7kI6yL",0,SocialNewsDesk,
Ryan Watson,780675576,,2023-01-16 06:35:42,"44. Seahawks select Jahmyr Gibbs, RB, Alabama, 5’11”, 200, 4.32

53. Tuli Tuipulotu, USC, DL/EDGE, 6’4” 290

84. He… https://t.co/DVGLqE9wqs",0,Twitter for iPhone,
Ryan Watson,780675576,,2023-01-16 06:33:07,"13.Seahawks select Tyree Wilson, EDGE, Texas Tech, 6’6”, 275, 4.7

20.Seahawks select Trenton Simpson, LB, Clemson,… https://t.co/uQTltCezk6",0,Twitter for iPhone,
Ryan Watson,780675576,,2023-01-16 06:32:11,"The Way too early Seahawks Mock Draft

5.Seahawks trade back to 9 with Panthers for the 40th overall pick(For Strou… https://t.co/4TGsHUjTen",0,Twitter for iPhone,
jason kollack,1927056985,Scottsdale Az,2023-01-16 03:36:02,That is the single dumbest play ive ever seen in history of football!!!! Way dumber than the Seahawks throwing on t… https://t.co/cdDtiCyige,0,Twitter Web App,
Tylon Williams,1563564084779290625,"Phoenix, AZ",2023-01-16 03:17:33,Thank you @GenoSmith3 for an incredible season this year setting the franchise record in Seahawks history and being… https://t.co/58TD4I5c4f,1,Twitter for iPhone,
Tylon Williams,1563564084779290625,"Phoenix, AZ",2023-01-16 03:12:33,See you soon 12s I’ll try to attend one game 🔵🟢 I’m sad this season it’s already over but I look forward to the fut… https://t.co/QH1KJbkms1,0,Twitter for iPhone,
Hannah Hamilton,1556468272945475584,"Phoenix, AZ",2023-01-16 01:16:19,@Seahawks @dkm14 @PeteCarroll @GenoSmith3 BYE LOSERS,0,Twitter for iPhone,
Colin Jordan,36869938,"Scottsdale, AZ",2023-01-15 23:43:18,"@TheSFNiners @Purd0me This is example 2,456 of why I hate the Seattle Seahawks and their fans",0,Twitter for iPhone,
Jonathaniel Daniel,2956799239,"Phoenix, AZ",2023-01-15 23:04:49,"@garrettedwards_ @Seahawks @Toyota Nah I have nothing against Geno or the team, just the social media intern for be… https://t.co/buEV6sRlqM",0,Twitter for iPhone,
Deon Johnson,52219783,"Phoenix, AZ",2023-01-15 21:56:27,#NFL # Playoffs #49ers vs #Seahawks https://t.co/5fwZLcBWMy,1,Periscope,
Gary Williams,1083442650995257344,"Surprise, AZ",2023-01-15 21:16:17,"@GhostRobo Agreed, but we should’ve beaten the Seahawks when we did",0,Twitter for iPhone,
Mic Tyson,1385782634324713477,"Phoenix, AZ",2023-01-15 21:14:15,Seahawks vs 49ers #nfl #highlights #football #playoffs #fttb #Seahawks  #commentary #lol #brockpurdy #genosmith… https://t.co/AvLSUGaXhI,51,Twitter for iPhone,
Scott Picard,89263761,"Scottsdale, AZ",2023-01-15 20:49:22,@NYSportsBiz @MitchSchwartz71 My point is just saying you can’t compare bills bengals to Seahawks Niners.,0,Twitter for iPhone,
Colton Phillips-Koch,1182878656558845953,"Phoenix, AZ",2023-01-15 19:52:48,@doulbedoink Remember when the Seahawks were up at half against the niners? Wonder how the rest of that one played out,0,Twitter for iPhone,
Scott Picard,89263761,"Scottsdale, AZ",2023-01-15 19:13:44,@NYSportsBiz @MitchSchwartz71 Let me ask you this. Would you rather be down 1 score and have to comeback against th… https://t.co/LSIplKjZxd,0,Twitter for iPhone,
CDF,1043678180,Glendale Arizona ,2023-01-15 19:12:16,"@CorbinSmithNFL @Locked_Seahawks Hell yeah they can, he’s good enough to make the throws he has to. The rest of the… https://t.co/pcAViwQK0W",0,Twitter for iPhone,
John Spielmann ⚓️🗽🌵,562505379,"Sun City West, Arizona",2023-01-15 19:11:43,@raincityseries Worse than Philly fans? I don’t think so. Try going to an Eagles game at the Lincoln wearing Seahaw… https://t.co/uVn46kUgFM,0,Twitter for iPad,
Scott Picard,89263761,"Scottsdale, AZ",2023-01-15 19:05:19,@NYSportsBiz @MitchSchwartz71 I think there’s a huge difference between the bengals and Seahawks. Being down 7-3 to… https://t.co/Pemr12SCWw,0,Twitter for iPhone,
Scott Picard,89263761,"Scottsdale, AZ",2023-01-15 18:48:26,@MitchSchwartz71 @NYSportsBiz Just the biggest difference is you’re comparing the Seahawks to the bengals.,0,Twitter for iPhone,
ShaneNFL,1569089793753231360,"Phoenix, AZ",2023-01-15 17:41:41,"Might be burning money here, but took #Dolphins +13.5. Just seems like a TON of points.

Of course, #49ers wrecked… https://t.co/iO7swL3AUg",0,Twitter Web App,
Bill Alvstad🎙️,1195324231,"Phoenix, AZ",2023-01-15 17:39:43,"Seahawks fans, are you looking to keep the discussion going all off-season? 

Seahawks Playbook Podcast is the answ… https://t.co/0IFxBZuef2",1,Twitter for Android,
Showtime#28,636799113,,2023-01-15 16:54:32,The moment we knew the Seahawks Fd up @49ers #FTTB https://t.co/u9gePua5cZ,0,Twitter for iPhone,
M.T. Bade,960756080,"Phoenix, AZ",2023-01-15 16:48:43,@gbellseattle Only Seahawks fans would think getting rid of a QB with a ~70% completion rate and a passer rating of… https://t.co/NMyRVRaT06,0,Twitter for Android,
Sneakatoke,129605255,"Phoenix, AZ",2023-01-15 16:33:10,He’s our QB!! @GenoSmith3 looking forward to seeing how much you and the team have improved next season!! #GoHawks… https://t.co/iQstjoxHkv,0,Twitter for iPhone,
Eddie_G2 🇺🇸,73752146,"Phoenix, AZ",2023-01-15 15:41:02,You deserve it #Seahawks 🏆 https://t.co/h3stxYfq2r,0,Twitter for iPhone,
Capt_Dino (Gaby) 🦕🔞,1328856051064573952,Outer Space,2023-01-15 15:25:36,@TheRealBTW1 Probably cuz ur a Seahawks fan 🤣 https://t.co/BeEmZZXvix,0,Twitter for Android,
Reuben Juarez,501406814,"Phoenix, AZ",2023-01-15 06:13:17,Mooove bih get out the way @Seahawks 🗑️ https://t.co/CJnfuESdk5,0,Twitter for iPhone,
Dwayne Walton,317508621,"Phoenix, AZ",2023-01-15 05:29:56,Brock Purdy sinks Seahawks with 4 TDs in playoff debut https://t.co/BZBTCet9fz #MrIrrelevant #WildCardWeekend,0,Twitter Web App,
Hannah Hamilton,1556468272945475584,"Phoenix, AZ",2023-01-15 04:54:28,@Seahawks @12s STOP POSTING GO HOME AND BE QUIET,0,Twitter for iPhone,
Sean Bowers,126102382,"Phoenix, AZ",2023-01-15 04:49:23,"@EmmanuelAcho 85 Bears, 00 Ravens, 02 Bucs, 13 Seahawks, 15 Broncos.",0,Twitter for Android,
